dataset,graphType,promptTitle,xCategory_1,xCategory_2,yCategory,prompt,taskCategory,questionCategory,description,questionType,corrFilename,filenameArray,graphPNG,,xCategory_1,xCategory_2,corrAns,x1_facetF,x1_facetT,x2_facetF,x2_facetT,promptCategory_1,promptCategory_2,prompt_1,prompt_2
movies,barchart,Movie ratings ,movie genre,decade,rating,How much higher are ratings of movies from the decade with the highest ratings compared to the decade with the lowest ratings?,determine_range,5,"This data visualization is intended to show information about: <b>movie ratings of different genres across different decades</b>. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",numerical,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,"movies_x1decade_facetgenre_reorderalph_colorrainbow.png,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,movies_x1decade_facetnone_reorderalph_colorrainbow.png,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetdecade_reorderalph_colorrainbow.png,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetnone_reorderalph_colorrainbow.png,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2,movie genre,decade,0.87,F,T,*,T,F,T,NA,decade
movies,barchart,Movie ratings ,movie genre,decade,rating,"Within Drama movies, how much higher are ratings from the decade with the highest ratings compared to the decade with the lowest ratings? ",determine_range,6,"This data visualization is intended to show information about: <b>movie ratings of different genres across different decades</b>. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",numerical,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,"movies_x1decade_facetgenre_reorderalph_colorrainbow.png,movies_x1decade_facetgenre_reorderlarge_to_small_colorrainbow.png,movies_x1decade_facetnone_reorderalph_colorrainbow.png,movies_x1decade_facetnone_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetdecade_reorderalph_colorrainbow.png,movies_x1genre_facetdecade_reorderlarge_to_small_colorrainbow.png,movies_x1genre_facetnone_reorderalph_colorrainbow.png,movies_x1genre_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,movie genre,decade,1.47,F,*,F,T,T,T,movie,decade
happiness,barchart,Survey about Happiness,happy,region,education,"On average, what is the education level of people living on the West Coast who report being very happy?",retrieve_value,1,"This data visualization is intended to show information about: <b>education levels of people who report different levels of happiness across different regions of the United States</b>. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",numerical,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,"happiness_x1happy_facetnone_reorderalph_colorrainbow.png,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,happiness_x1happy_facetregion_reorderalph_colorrainbow.png,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facethappy_reorderalph_colorrainbow.png,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facetnone_reorderalph_colorrainbow.png,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,happy,region,13.57,F,T,F,T,T,T,happy,region
happiness,barchart,Survey about Happiness,happy,region,education,"On average, what is the education level of people who report being pretty happy?",retrieve_value,2,"This data visualization is intended to show information about: <b>education levels of people who report different levels of happiness across different regions of the United States</b>. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",numerical,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,"happiness_x1happy_facetnone_reorderalph_colorrainbow.png,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,happiness_x1happy_facetregion_reorderalph_colorrainbow.png,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facethappy_reorderalph_colorrainbow.png,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facetnone_reorderalph_colorrainbow.png,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,happy,region,13.49,*,T,F,T,T,F,happy,NA
happiness,barchart,Survey about Happiness,happy,region,education,"On average, how much higher is the education level of people who report being very happy compared to people who report being unhappy? ",make_comparisons,3,"This data visualization is intended to show information about: <b>education levels of people who report different levels of happiness across different regions of the United States</b>. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",numerical,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,"happiness_x1happy_facetnone_reorderalph_colorrainbow.png,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,happiness_x1happy_facetregion_reorderalph_colorrainbow.png,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facethappy_reorderalph_colorrainbow.png,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facetnone_reorderalph_colorrainbow.png,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,happy,region,0.05,*,T,F,T,T,F,happy,NA
happiness,barchart,Survey about Happiness,happy,region,education,"On average, how much higher is the education level of people living in the South who report being unhappy compared to those who report being very happy? ",make_comparisons,4,"This data visualization is intended to show information about: <b>education levels of people who report different levels of happiness across different regions of the United States</b>. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",numerical,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,"happiness_x1happy_facetnone_reorderalph_colorrainbow.png,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,happiness_x1happy_facetregion_reorderalph_colorrainbow.png,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facethappy_reorderalph_colorrainbow.png,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facetnone_reorderalph_colorrainbow.png,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1xCAT2,happy,region,3.5,F,*,F,T,T,T,happy,region
happiness,barchart,Survey about Happiness,happy,region,education,How much higher are education levels between the region with the highest education level compared to the region with the lowest education level?,determine_range,5,"This data visualization is intended to show information about: <b>education levels of people who report different levels of happiness across different regions of the United States</b>. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",numerical,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png,"happiness_x1happy_facetnone_reorderalph_colorrainbow.png,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,happiness_x1happy_facetregion_reorderalph_colorrainbow.png,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facethappy_reorderalph_colorrainbow.png,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facetnone_reorderalph_colorrainbow.png,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2,happy,region,0.05,F,T,*,T,F,T,NA,region
happiness,barchart,Survey about Happiness,happy,region,education,"Within people who report being very happy, how much higher are education levels between the region with the highest education level compared to the region with the lowest education level? ",determine_range,6,"This data visualization is intended to show information about: <b>education levels of people who report different levels of happiness across different regions of the United States</b>. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",numerical,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,"happiness_x1happy_facetnone_reorderalph_colorrainbow.png,happiness_x1happy_facetnone_reorderlarge_to_small_colorrainbow.png,happiness_x1happy_facetregion_reorderalph_colorrainbow.png,happiness_x1happy_facetregion_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facethappy_reorderalph_colorrainbow.png,happiness_x1region_facethappy_reorderlarge_to_small_colorrainbow.png,happiness_x1region_facetnone_reorderalph_colorrainbow.png,happiness_x1region_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,happy,region,2.5,F,*,F,T,T,T,happy,region
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,"On average, how long does it take women from DC to complete the race?",retrieve_value,1,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT2xCAT1,sex,state,1.75,F,T,F,T,T,T,sex,state
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,"On average, how long does it take women to complete the race?",retrieve_value,2,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT1,sex,state,1.74,*,T,F,T,T,F,sex,NA
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,"On average, how much longer does it take women to complete the race relative to men? ",make_comparisons,3,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT1,sex,state,0.25,*,T,F,T,T,F,sex,NA
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,"On average, how much longer does it take women from VA to complete the race compared to women from MD? ",make_comparisons,4,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT1xCAT2,sex,state,0.06,F,*,F,T,T,T,sex,state
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,How much longer does it take runners from the state with the longest times to complete the race compared to runners from the state with the fastest times?,determine_range,5,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT2,sex,state,0.05,F,T,*,T,F,T,NA,state
tenmilerace,barchart,Cherry Blossom Race,sex,state,time,"Within women, how much longer does it take runners from the state with the longest times to complete the race compared to runners from the state with the fastest times?",determine_range,6,"This data visualization is intended to show information about: <b>marathon times of runners from different states across the United States</b>. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",numerical,race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,"race_x1state_facetsex_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetnone_reorderalph_colorrainbow.png,race_x1sex_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1sex_facetstate_reorderalph_colorrainbow.png,race_x1sex_facetstate_reorderlarge_to_small_colorrainbow.png,race_x1state_facetnone_reorderalph_colorrainbow.png,race_x1state_facetnone_reorderlarge_to_small_colorrainbow.png,race_x1state_facetsex_reorderalph_colorrainbow.png",,CAT2xCAT1,sex,state,0.06,F,*,F,T,T,T,sex,state
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many orders of large pepperoni pizzas are made?",retrieve_value,1,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT2xCAT1,size,name,5,F,T,F,T,T,T,size,name
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many orders of large pizzas are made?",retrieve_value,2,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,size,name,5.04,*,T,F,T,T,F,size,NA
pizzaplace,barchart,Pizza Sales,size,name,order_count,"On average, how many more orders are made of large pizzas compared to small pizzas?",make_comparisons,3,"This data visualization is intended to show information about: <b>number of pizza orders for different kinds of pizzas across different sizes</b>. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",numerical,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png,"pizza_x1name_facetnone_reorderalph_colorrainbow.png,pizza_x1name_facetnone_reorderlarge_to_small_colorrainbow.png,pizza_x1name_facetsize_reorderalph_colorrainbow.png,pizza_x1name_facetsize_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetname_reorderalph_colorrainbow.png,pizza_x1size_facetname_reorderlarge_to_small_colorrainbow.png,pizza_x1size_facetnone_reorderalph_colorrainbow.png,pizza_x1size_facetnone_reorderlarge_to_small_colorrainbow.png",,CAT1,size,name,0.44,*,T,F,T,T,F,size,NA
